,Operador_Padronizado,Classificacao_da_Ocorrencia,Data_da_Ocorrencia,Municipio,UF,Regiao,Descricao_do_Tipo,Historico,Matricula,Categoria_da_Aeronave,Operador,Tipo_de_Ocorrencia,Fase_da_Operacao,Operacao,Danos_a_Aeronave,Lesoes_Fatais_Tripulantes,Lesoes_Fatais_Passageiros,Lesoes_Fatais_Terceiros,Lesoes_Graves_Tripulantes,Lesoes_Graves_Passageiros,Lesoes_Graves_Terceiros,Lesoes_Leves_Tripulantes,Lesoes_Leves_Passageiros,Lesoes_Leves_Terceiros,Ilesos_Tripulantes,Ilesos_Passageiros,Lesoes_Desconhecidas_Tripulantes,Lesoes_Desconhecidas_Passageiros,Lesoes_Desconhecidas_Terceiros,Modelo,Numero_de_Assentos,Nome_do_Fabricante,Coordenadas
10341,EVALDO BARBOSA FIRES,Acidente,04/07/2022,RUY BARBOSA,BA,Nordeste,FALHA OU MAU FUNCIONAMENTO DO MOTOR,"A aeronave decolou do Aeródromo Ecides Fires (SSDF), São Sebastião do Passé, BA, por volta das 11h00min (UTC), com destino ao Aeródromo de Ibotirama (SNIT), Ibotirama, BA, a fim de realizar voo privado, com um piloto e um passageiro a bordo.Durante o voo de cruzeiro, a aeronave apresentou uma forte vibração no motor, que foi cortado pelo piloto. Após o corte, constatou-se que uma das pás da hélice havia se partido ao meio. A aeronave realizou um pouso de emergência em uma fazenda, pilonando em seguida.",PPXDO,PET,EVALDO BARBOSA FIRES,SCF-PP,Cruzeiro,Voo Privado,Substancial,,,,,,,,,,1.0,1.0,,,,ANSSEC180 AVIAO,2.0,INDISPONIVEL,"-12,2933 -40,5717"
10342,GOVERNO DO ESTADO DO AMAPA,Incidente,27/07/2022,MACAPÁ,AP,Norte,COLISÃO COM AVE,"A aeronave decolou do Aeródromo Oiapoque (SBOI), Oiapoque, AP, com destino ao Aeródromo Alberto Alcolumbre (SBMQ), Macapá, AP, por volta das 17h05min (UTC), a fim de realizar voo de transporte de passageiros, com dois pilotos e cinco passageiros a bordo. Durante o circuito de tráfego para pouso, houve colisão com fauna (urubu).",PPEIX,ADE,GOVERNO DO ESTADO DO AMAPA,BIRD,Circuto de Tráfego,Voo Privado,Leve,,,,,,,,,,2.0,5.0,,,,EMB-110P1,12.0,EMBRAER,"-0,05117 -51,0707"
10343,CORPO DE BOMBEIROS MILITAR DO ESTADO DE SANTA CATARINA,Incidente,05/08/2022,CHAPECÓ,SC,Sul,MANOBRA ABRUPTA,"A aeronave decolou do aeródromo Serafin Enoss Bertaso (SBCH), no município de Chapecó, SC, com destino ao aeródromo Hercílio Luz (SBFL), no município de Florianópolis, SC, aproximadamente às 17h22min (UTC), a fim de realizar voo de transporte de enfermo, com dois pilotos e quatro passageiros a bordo.A aeronave (PS-TAH) realizou uma decolagem corrida da pista 29 de SBCH em virtude de outra aeronave (PR-XFR) ter reportado estar na base para pouso na mesma pista. Após a decolagem, verificou-se que o PR-XFR estava voando no perfil da base para a pista 11. A tripulação julgou que ambas as aeronaves estariam em rota de colisão e realizaram manobra evasiva para livrar o tráfego. A tripulação relatou que o PR-XFR passou a ser identificado no TCAS como amarelo e que houve o acionamento do alerta sonoro TRAFICC. O restante do voo ocorreu sem mais anormalidades.",PSTAH,ADE,CORPO DE BOMBEIROS MILITAR DO ESTADO DE SANTA CATARINA,AMAN,Decolagem,Operação Policial,Nenhum,,,,,,,,,,2.0,4.0,,,,C90GTI,8.0,HAWKER BEECHCRAFT,"-27,1317 -52,6764"
10345,CORPO DE BOMBEIROS MILITAR DO ESTADO DE SANTA CATARINA,Incidente,05/08/2022,CHAPECÓ,SC,Sul,PERDA DE SEPARAÇÃO / COLISÃO EM VOO,"A aeronave decolou do aeródromo Serafin Enoss Bertaso (SBCH), no município de Chapecó, SC, com destino ao aeródromo Hercílio Luz (SBFL), no município de Florianópolis, SC, aproximadamente às 17h22min (UTC), a fim de realizar voo de transporte de enfermo, com dois pilotos e quatro passageiros a bordo.A aeronave (PS-TAH) realizou uma decolagem corrida da pista 29 de SBCH em virtude de outra aeronave (PR-XFR) ter reportado estar na base para pouso na mesma pista. Após a decolagem, verificou-se que o PR-XFR estava voando no perfil da base para a pista 11. A tripulação julgou que ambas as aeronaves estariam em rota de colisão e realizaram manobra evasiva para livrar o tráfego. A tripulação relatou que o PR-XFR passou a ser identificado no TCAS como amarelo e que houve o acionamento do alerta sonoro TRAFICC. O restante do voo ocorreu sem mais anormalidades.",PSTAH,ADE,CORPO DE BOMBEIROS MILITAR DO ESTADO DE SANTA CATARINA,MAC,Decolagem,Operação Policial,Nenhum,,,,,,,,,,2.0,4.0,,,,C90GTI,8.0,HAWKER BEECHCRAFT,"-27,1317 -52,6764"
10346,FLIX SERVIÇOS ADMINISTRATIVOS LTDA,Incidente,05/08/2022,CHAPECÓ,SC,Sul,MANOBRA ABRUPTA,"A aeronave decolou do aeródromo Serafin Enoss Bertaso (SBCH), no município de Chapecó, SC, com destino ao aeródromo Hercílio Luz (SBFL), no município de Florianópolis, SC, aproximadamente às 17h22min (UTC), a fim de realizar voo de transporte de enfermo, com dois pilotos e quatro passageiros a bordo.A aeronave (PS-TAH) realizou uma decolagem corrida da pista 29 de SBCH em virtude de outra aeronave (PR-XFR) ter reportado estar na base para pouso na mesma pista. Após a decolagem, verificou-se que o PR-XFR estava voando no perfil da base para a pista 11. A tripulação julgou que ambas as aeronaves estariam em rota de colisão e realizaram manobra evasiva para livrar o tráfego. A tripulação relatou que o PR-XFR passou a ser identificado no TCAS como amarelo e que houve o acionamento do alerta sonoro TRAFICC. O restante do voo ocorreu sem mais anormalidades.",PRXFR,TPP,FLIX SERVIÇOS ADMINISTRATIVOS LTDA,AMAN,Pouso,Voo Privado,Nenhum,,,,,,,,,,1.0,1.0,,,,401A,8.0,CESSNA AIRCRAFT,"-27,1317 -52,6764"
10349,FLIX SERVIÇOS ADMINISTRATIVOS LTDA,Incidente,05/08/2022,CHAPECÓ,SC,Sul,PERDA DE SEPARAÇÃO / COLISÃO EM VOO,"A aeronave decolou do aeródromo Serafin Enoss Bertaso (SBCH), no município de Chapecó, SC, com destino ao aeródromo Hercílio Luz (SBFL), no município de Florianópolis, SC, aproximadamente às 17h22min (UTC), a fim de realizar voo de transporte de enfermo, com dois pilotos e quatro passageiros a bordo.A aeronave (PS-TAH) realizou uma decolagem corrida da pista 29 de SBCH em virtude de outra aeronave (PR-XFR) ter reportado estar na base para pouso na mesma pista. Após a decolagem, verificou-se que o PR-XFR estava voando no perfil da base para a pista 11. A tripulação julgou que ambas as aeronaves estariam em rota de colisão e realizaram manobra evasiva para livrar o tráfego. A tripulação relatou que o PR-XFR passou a ser identificado no TCAS como amarelo e que houve o acionamento do alerta sonoro TRAFICC. O restante do voo ocorreu sem mais anormalidades.",PRXFR,TPP,FLIX SERVIÇOS ADMINISTRATIVOS LTDA,MAC,Pouso,Voo Privado,Nenhum,,,,,,,,,,1.0,1.0,,,,401A,8.0,CESSNA AIRCRAFT,"-27,1317 -52,6764"
10356,SOLDEIRA AVIAÇÃO AGRÍCOLA LTDA ME,Acidente,15/01/2022,UCHOA,SP,Sudeste,OPERAÇÕES NO SOLO,"A aeronave decolou da Área de Pouso para Uso Aeroagrícola (ZZZZ), na Usina São Domingos, Uchôa, SP, a fim de realizar um voo local de aplicação de defensivos agrícolas, com um piloto a bordo. Na corrida após o pouso, a aeronave colidiu com um veículo e curvou à direita, chocando-se com um caminhão e com o auxiliar que estava próximo a ele.",PRSOD,S05,SOLDEIRA AVIAÇÃO AGRÍCOLA LTDA ME,RAMP,Corrida após pouso,Operação Agrícola,Leve,,,1.0,,,,,,,1.0,,,,,PA-25-260,1.0,PIPER AIRCRAFT,"-20,9628 -49,2136"
10359,ICARAÍ TURISMO TÁXI AÉREO LTDA,Acidente,19/01/2022,FLORIANÓPOLIS,SC,Sul,FALHA OU MAU FUNCIONAMENTO DO MOTOR,"A aeronave decolou de um heliponto localizado na Associação dos Moradores de Canasvieiras (AMOCAN), no município de Florianópolis, SC, por volta de 20:25 (UTC), a fim de realizar voo panorâmico no litoral, com um piloto e dois passageiros a bordo. Durante o sobrevoo, a aeronave teve perda de potência e realizou pouso forçado no mar próximo à praia de Canasvieiras.",PRNEW,D08,ICARAÍ TURISMO TÁXI AÉREO LTDA,SCF-PP,Voo a baixa altura,Táxi Aéreo,Substancial,,,,,,,,,,1.0,2.0,,,,R44 II,4.0,ROBINSON HELICOPTER,"-27,4267 -48,469"
10362,CRISTIANO ALEXANDRE RAFAELI,Acidente,20/01/2022,LUÍS EDUARDO MAGALHÃES,BA,Nordeste,PERDA DE CONTROLE EM VOO,"A aeronave decolou do Aeródromo de Mimoso do Oeste (SSQZ), Luís Eduardo Magalhães, BA, às 17h32min (UTC), com destino à Área de Pouso para Uso Aeroagrícola (APUA) da Fazenda Ipiranga, São Desidério, BA, a fim de realizar voo de translado, com apenas o piloto a bordo. O piloto realizou uma decolagem rasante e, ao cruzar a cabeceira oposta, a aeronave foi colocada em atitude de subida acentuada. Após atingir cerca de 150 metros de altura, a aeronave guinou à direita e iniciou uma descida descontrolada, batendo em uma rede de alta tensão antes colidir contra o solo. A aeronave parou no dorso, a aproximadamente 400 metros da cabeceira 10 de SSQZ.",PSRAF,TPP,CRISTIANO ALEXANDRE RAFAELI,LOC-I,Decolagem,Voo Privado,Destruída,1.0,,,,,,,,,,,,,,AT-602,1.0,AIR TRACTOR,"-12,105 -45,9044"
10363,SOLDEIRA AVIAÇÃO AGRÍCOLA LTDA ME,Acidente,15/01/2022,UCHOA,SP,Sudeste,PERDA DE CONTROLE NO SOLO,"A aeronave decolou da Área de Pouso para Uso Aeroagrícola (ZZZZ), na Usina São Domingos, Uchôa, SP, a fim de realizar um voo local de aplicação de defensivos agrícolas, com um piloto a bordo. Na corrida após o pouso, a aeronave colidiu com um veículo e curvou à direita, chocando-se com um caminhão e com o auxiliar que estava próximo a ele.",PRSOD,S05,SOLDEIRA AVIAÇÃO AGRÍCOLA LTDA ME,LOC-G,Corrida após pouso,Operação Agrícola,Leve,,,1.0,,,,,,,1.0,,,,,PA-25-260,1.0,PIPER AIRCRAFT,"-20,9628 -49,2136"
10364,NOCAUTE AVIAÇÃO AGRÍCOLA LTDA,Acidente,15/01/2022,UCHOA,SP,Sudeste,PERDA DE CONTROLE NO SOLO,"A aeronave decolou da Área de Pouso para Uso Aeroagrícola (ZZZZ), na Usina São Domingos, Uchôa, SP, a fim de realizar um voo local de aplicação de defensivos agrícolas, com um piloto a bordo. Na corrida após o pouso, a aeronave colidiu com um veículo e curvou à direita, chocando-se com um caminhão e com o auxiliar que estava próximo a ele.",PRSOD,S05,NOCAUTE AVIAÇÃO AGRÍCOLA LTDA,LOC-G,Corrida após pouso,Operação Agrícola,Leve,,,1.0,,,,,,,1.0,,,,,PA-25-260,1.0,PIPER AIRCRAFT,"-20,9628 -49,2136"
10365,NOCAUTE AVIAÇÃO AGRÍCOLA LTDA,Acidente,15/01/2022,UCHOA,SP,Sudeste,OPERAÇÕES NO SOLO,"A aeronave decolou da Área de Pouso para Uso Aeroagrícola (ZZZZ), na Usina São Domingos, Uchôa, SP, a fim de realizar um voo local de aplicação de defensivos agrícolas, com um piloto a bordo. Na corrida após o pouso, a aeronave colidiu com um veículo e curvou à direita, chocando-se com um caminhão e com o auxiliar que estava próximo a ele.",PRSOD,S05,NOCAUTE AVIAÇÃO AGRÍCOLA LTDA,RAMP,Corrida após pouso,Operação Agrícola,Leve,,,1.0,,,,,,,1.0,,,,,PA-25-260,1.0,PIPER AIRCRAFT,"-20,9628 -49,2136"
10366,GOL LINHAS AÉREAS S.A.,Incidente,30/01/2022,SALVADOR,BA,Nordeste,FALHA OU MAU FUNCIONAMENTO DO MOTOR,"A aeronave decolou do Aeroporto Deputado Luís Eduardo Magalhães (SBSV), Salvador, BA, com destino ao Aeroporto Salgado Filho (SBPA), Porto Alegre, RS, a fim de realizar transporte aéreo público regular, com seis tripulantes e cento e sessenta e sete passageiros a bordo.Durante a subida, a aeronave apresentou a mensagem de superaquecimento do motor #2. A tripulação realizou o checklist pertinente e o voo retornou para o aeródromo de origem.",PRGUX,TPR,GOL LINHAS AÉREAS S.A.,SCF-PP,Subida,Voo Regular,Nenhum,,,,,,,,,,6.0,167.0,,,,737-8EH,196.0,BOEING COMPANY,"-12,9086 -38,3225"
10367,ANTONIO CELSO QUEIROZ BORBOREMA,Incidente Grave,12/08/2022,FRANCA,SP,Sudeste,FALHA OU MAU FUNCIONAMENTO DO MOTOR,"A aeronave decolou do aeródromo São Sebastião do Paraíso (SNPY), São Sebastião do Paraíso, MG, com destino ao aeródromo Gurupi (SWGI), Gurupi, TO, a fim de efetuar um voo privado, com um piloto a bordo. Após dez minutos de voo, houve uma perda de potência e, em seguida, a parada do funcionamento do motor. Foi realizado o pouso em segurança no Km 14 da rodovia MG-328, próximo ao município de Franca, SP.",PUZCQ,PET,ANTONIO CELSO QUEIROZ BORBOREMA,SCF-PP,Cruzeiro,Voo Privado,Nenhum,,,,,,,,,,1.0,,,,,RV-9A,2.0,ANTONIO CELSO QUEIROZ BORBOREMA,"-20,5178 -47,2367"
10371,ARISTIDES ZACARELLI NETO,Incidente,05/12/2022,AQUIDAUANA,MS,Centro-Oeste,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,"Aeronave decolou do aeródromo Fazenda São Sebastião (SIWU), Aquidauana, MS, com destino ao aeródromo Aeroclube de Aquidauana (SSHA), Aquidauana, MS. Após a decolagem, foi observado que o trem de pouso do nariz não travou em cima, tendo a luz “em trânsito” permanecido acesa. Após tentativa de novo ciclo de abaixamento e recolhimento do trem, manteve-se a pane. A tripulação optou por seguir até o destino e realizar o corte dos motores antes do toque. Após o toque, o trem do nariz cedeu gradualmente, tendo a aeronave parado sobre a pista.",PRWGO,TPP,ARISTIDES ZACARELLI NETO,SCF-NP,Corrida após pouso,Voo Privado,Leve,,,,,,,,,,1.0,4.0,,,,58,6.0,BEECH AIRCRAFT,"-20,2851 -55,461"
10374,AZUL,Ocorrência Anormal,06/02/2022,CAMPINAS,SP,Sudeste,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,"A aeronave decolou do Aeroporto Viracopos (SBKP), Campinas, SP, com destino ao Aeroporto Eduardo Gomes (SBEG), Manaus, AM, a fim de realizar transporte aéreo regular, com dois tripulantes a bordo. Durante a subida a aeronave apresentou a mensagem de falha no painel de monitorização central. A tripulação efetuou os procedimentos previstos no QRH e o voo retornou para o aeródromo de origem.",PRAIV,TPR,AZUL LINHAS AEREAS BRASILEIRAS S.A,SCF-NP,Subida,Voo Regular,Nenhum,,,,,,,,,,2.0,,,,,A330-243,258.0,AIRBUS S.A.S.,"-23,0069 -47,1344"
10380,FORÇA AÉREA BRASILEIRA,Incidente,27/05/2022,PETROLINA,PE,Nordeste,"GERENCIAMENTO DE TRÁFEGO AÉREO (ATM) / SERVIÇO DE COMUNICAÇÃO NAVEGAÇÃO, OU VIGILÂNCIA (CNS)","A aeronave PR-AYL decolaria do aeródromo Senador Nilo Coelho (SBPL), Petrolina, PE, com destino ao aeródromo Gilberto Freire (SBRF), Recife, PE, a fim de realizar transporte aéreo público regular. No início da corrida de decolagem, a aeronave PR-AYL foi informada que a aeronave FAB3601 estava na final do procedimento de navegação requerida (RNP) da pista 31. A aeronave PR-AYL rejeitou a decolagem e a aeronave FAB3601 realizou uma passagem à direita da pista 31 sem maiores intercorrências.",FAB3601,Militar,FORÇA AÉREA BRASILEIRA,ATM/CNS,Aproximação,Operação Especializada,Nenhum,,,,,,,,,,,,,,,,,,"-9,3675 -40,5594"
10381,AZUL LINHAS AÉREAS BRASILEIRAS S.A.,Incidente,27/05/2022,PETROLINA,PE,Nordeste,"GERENCIAMENTO DE TRÁFEGO AÉREO (ATM) / SERVIÇO DE COMUNICAÇÃO NAVEGAÇÃO, OU VIGILÂNCIA (CNS)","A aeronave PR-AYL decolaria do aeródromo Senador Nilo Coelho (SBPL), Petrolina, PE, com destino ao aeródromo Gilberto Freire (SBRF), Recife, PE, a fim de realizar transporte aéreo público regular. No início da corrida de decolagem, a aeronave PR-AYL foi informada que a aeronave FAB3601 estava na final do procedimento de navegação requerida (RNP) da pista 31. A aeronave PR-AYL rejeitou a decolagem e a aeronave FAB3601 realizou uma passagem à direita da pista 31 sem maiores intercorrências.",PRAYL,TPR,AZUL LINHAS AÉREAS BRASILEIRAS S.A.,ATM/CNS,Decolagem,Voo Regular,Nenhum,,,,,,,,,,,,,,,ERJ 190-200 LR,125.0,EMBRAER,"-9,3675 -40,5594"
10382,BARROCO LOPES ESC. DE AV. CIVIL LTDA-EPP,Incidente,16/07/2022,RIO DAS OSTRAS,RJ,Sudeste,OUTROS,"A aeronave decolou do aeródromo de Barroco Lopes (SIBQ), Macaé, RJ, por volta das 00h10min (UTC) a fim de realizar um voo de instrução local com dois tripulantes a bordo. Durante o voo o piloto realizou um pouso de precaução fora de aeródromo para verificar um cheiro anormal.",PRBLF,M53,BARROCO LOPES ESC. DE AV. CIVIL LTDA-EPP,OTHR,Cruzeiro,Voo de Instrução,Leve,,,,,,,,,,2.0,,,,,R22 BETA,2.0,ROBINSON HELICOPTER,"-22,5156 -41,9164"
10383,FREDERICO PALLA DE SOUZA,Ocorrência Anormal,17/07/2022,BOA VISTA,RR,Norte,OUTROS,"A aeronave decolou do Aeródromo Aviação Agrícola Manain (SDF9), localizado no município de Boa Vista, RR, a fim de realizar voo local, com um tripulante a bordo. Durante o voo a aeronave apresentou vibração além do normal e o piloto decidiu retornar para a aeródromo de origem. Em face de um aeronave no circuito o pouso foi realizado no Clube de Aviação Desportiva Roraima (ZZZZ), Boa Vista, RR.",PTSMM,TPP,FREDERICO PALLA DE SOUZA,OTHR,Cruzeiro,Voo Privado,Nenhum,,,,,,,,,,1.0,,,,,R182,4.0,CESSNA AIRCRAFT,"-2,5613 -60,433"
10414,CAIO FELIPE EUNES DE ANDRADE,Incidente,31/07/2022,JUSSARA,GO,Centro-Oeste,CONTATO ANORMAL COM A PISTA,"A aeronave decolou do Aeródromo Fazenda Santa Rita do Araguaia (SWGW), Jussara, GO, com destino ao Aeródromo Teruel Ipanema Estância (SSIE), Campo Grande, MS, por volta das 13h30min (UTC), a fim de realizar um voo de traslado, com 01 piloto a bordo. Durante a corrida de decolagem, o piloto escutou um barulho estranho e decidiu prosseguir no voo que transcorreu sem intercorrências. Chegando ao local de destino, o piloto percebeu que as pontas das pás do conjunto de hélice estavam avariadas.",PTNSF,TPP,CAIO FELIPE EUNES DE ANDRADE,ARC,Decolagem,Voo Privado,Leve,,,,,,,,,,1.0,,,,,EMB-711B,4.0,NEIVA,"-15,4386 -51,5983"
10415,FABIO MARCOS PEREIRA DE FARIA,Incidente,31/07/2022,JUSSARA,GO,Centro-Oeste,CONTATO ANORMAL COM A PISTA,"A aeronave decolou do Aeródromo Fazenda Santa Rita do Araguaia (SWGW), Jussara, GO, com destino ao Aeródromo Teruel Ipanema Estância (SSIE), Campo Grande, MS, por volta das 13h30min (UTC), a fim de realizar um voo de traslado, com 01 piloto a bordo. Durante a corrida de decolagem, o piloto escutou um barulho estranho e decidiu prosseguir no voo que transcorreu sem intercorrências. Chegando ao local de destino, o piloto percebeu que as pontas das pás do conjunto de hélice estavam avariadas.",PTNSF,TPP,FABIO MARCOS PEREIRA DE FARIA,ARC,Decolagem,Voo Privado,Leve,,,,,,,,,,1.0,,,,,EMB-711B,4.0,NEIVA,"-15,4386 -51,5983"
10416,AZUL,Incidente,23/03/2022,CURITIBA,PR,Sul,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,"A aeronave decolou do Aeródromo Regional Sul (SBJA), Jaguaruna, SC, com destino ao Aeródromo de Viracopos(SBKP), Campinas, SP com 04(quatro) tripulantes e 64 (sessenta e quatro) passageiros a bordo, a fim de realizar transporte aéreo público regular. Durante a fase de cruzeiro, a aeronave apresentou a mensagem “FWS A-ICING R WSHLD” e, logo após, apresentou trinca no para-brisas. Após a execução de procedimentos previstos em manual, a tripulação alternou o pouso para o Aeroporto Afonso Pena (SBCT), Curitiba, PR, sem maiores intercorrências.",PRAQZ,TPR,AZUL LINHAS AEREAS BRASILEIRAS S.A,SCF-NP,Cruzeiro,Voo Regular,Leve,,,,,,,,,,4.0,64.0,,,,ATR-72-212A,75.0,ATR - GIE AVIONS DE TRANSPORT RÉGIONAL,"-25,5317 -49,1761"
10417,MARCELO LOPES DE ABREU,Incidente,31/07/2022,JUSSARA,GO,Centro-Oeste,CONTATO ANORMAL COM A PISTA,"A aeronave decolou do Aeródromo Fazenda Santa Rita do Araguaia (SWGW), Jussara, GO, com destino ao Aeródromo Teruel Ipanema Estância (SSIE), Campo Grande, MS, por volta das 13h30min (UTC), a fim de realizar um voo de traslado, com 01 piloto a bordo. Durante a corrida de decolagem, o piloto escutou um barulho estranho e decidiu prosseguir no voo que transcorreu sem intercorrências. Chegando ao local de destino, o piloto percebeu que as pontas das pás do conjunto de hélice estavam avariadas.",PTNSF,TPP,MARCELO LOPES DE ABREU,ARC,Decolagem,Voo Privado,Leve,,,,,,,,,,1.0,,,,,EMB-711B,4.0,NEIVA,"-15,4386 -51,5983"
10418,JONAS ALBERTO SONZA,Incidente,31/07/2022,JUSSARA,GO,Centro-Oeste,CONTATO ANORMAL COM A PISTA,"A aeronave decolou do Aeródromo Fazenda Santa Rita do Araguaia (SWGW), Jussara, GO, com destino ao Aeródromo Teruel Ipanema Estância (SSIE), Campo Grande, MS, por volta das 13h30min (UTC), a fim de realizar um voo de traslado, com 01 piloto a bordo. Durante a corrida de decolagem, o piloto escutou um barulho estranho e decidiu prosseguir no voo que transcorreu sem intercorrências. Chegando ao local de destino, o piloto percebeu que as pontas das pás do conjunto de hélice estavam avariadas.",PTNSF,TPP,JONAS ALBERTO SONZA,ARC,Decolagem,Voo Privado,Leve,,,,,,,,,,1.0,,,,,EMB-711B,4.0,NEIVA,"-15,4386 -51,5983"
10419,ESCOLA DE AVIAÇÃO CIVIL DE POUSO ALEGRE LTDA,Incidente Grave,16/08/2022,GUARUJÁ,SP,Sudeste,FALHA OU MAU FUNCIONAMENTO DO MOTOR,"A aeronave decolou do aeródromo de Itanhaém (SDIM), Itanhaém, SP, com destino ao aeródromo de Pouso Alegre (SNZA), Pouso Alegre, MG, para voo privado com um piloto a bordo. Durante o voo, houve queda de rotação do motor. Foi solicitado o pouso em emergência no aeródromo de Santos (SBST), Guarujá, SP, onde pousou em segurança.",PTTNY,PRI,ESCOLA DE AVIAÇÃO CIVIL DE POUSO ALEGRE LTDA,SCF-PP,Cruzeiro,Voo de Instrução,Nenhum,,,,,,,,,,1.0,,,,,150M,2.0,CESSNA AIRCRAFT,"-23,9281 -46,2997"
10420,LUPA PARTICIPAÇÕES E EMPREENDIMENTOS IMOBILIÁRIOS LTDA,Incidente,04/09/2022,BELO HORIZONTE,MG,Sudeste,FALHA OU MAU FUNCIONAMENTO DO MOTOR,"Aeronave decolou do Aeródromo da Pampulha (SBBH), Belo Horizonte, MG às 14h07min com destino ao ao Aeródromo de Viçosa (SNVC), Viçosa, MG, a fim de realizar voo privado, com um piloto a bordo.Após a decolagem a aeronave perdeu potência no motor e retornou para pouso.",PRBIC,TPP,LUPA PARTICIPAÇÕES E EMPREENDIMENTOS IMOBILIÁRIOS LTDA,SCF-PP,Subida,Voo Privado,Nenhum,,,,,,,,,,1.0,,,,,PA-46R-350T,6.0,PIPER AIRCRAFT,"-19,5107 -43,5702"
10424,FLY ESCOLA DE AVIAÇÃO CIVIL EIRELI - EPP,Incidente,12/04/2022,RIO DE JANEIRO,RJ,Sudeste,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,"A aeronave decolou do Aeródromo de Jacarepaguá-Roberto Marinho (SBJR), Rio de Janeiro, RJ, a fim de realizar um voo panorâmico, com um tripulante e três passageiros a bordo. Durante o voo a luz de falha da bomba auxiliar ciclou e o piloto realizou um pouso preventivo em campo aberto em um clube.",PRJAH,D22,FLY ESCOLA DE AVIAÇÃO CIVIL EIRELI - EPP,SCF-NP,Cruzeiro,Táxi Aéreo,Nenhum,,,,,,,,,,1.0,3.0,,,,R44 II,4.0,ROBINSON HELICOPTER,"-22,9875 -43,37"
10425,ULTRA-PLANNA TÁXI ÁEREO LTDA,Incidente,12/04/2022,RIO DE JANEIRO,RJ,Sudeste,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,"A aeronave decolou do Aeródromo de Jacarepaguá-Roberto Marinho (SBJR), Rio de Janeiro, RJ, a fim de realizar um voo panorâmico, com um tripulante e três passageiros a bordo. Durante o voo a luz de falha da bomba auxiliar ciclou e o piloto realizou um pouso preventivo em campo aberto em um clube.",PRJAH,D22,ULTRA-PLANNA TÁXI ÁEREO LTDA,SCF-NP,Cruzeiro,Táxi Aéreo,Nenhum,,,,,,,,,,1.0,3.0,,,,R44 II,4.0,ROBINSON HELICOPTER,"-22,9875 -43,37"
10429,JÚLIO DE OLIVEIRA BAPTISTA DE ALMEIDA,Incidente,12/04/2022,RIO DE JANEIRO,RJ,Sudeste,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,"A aeronave decolou do Aeródromo de Jacarepaguá-Roberto Marinho (SBJR), Rio de Janeiro, RJ, a fim de realizar um voo panorâmico, com um tripulante e três passageiros a bordo. Durante o voo a luz de falha da bomba auxiliar ciclou e o piloto realizou um pouso preventivo em campo aberto em um clube.",PRJAH,D22,JÚLIO DE OLIVEIRA BAPTISTA DE ALMEIDA,SCF-NP,Cruzeiro,Táxi Aéreo,Nenhum,,,,,,,,,,1.0,3.0,,,,R44 II,4.0,ROBINSON HELICOPTER,"-22,9875 -43,37"
10430,VITOR WILLIAM DE OLIVEIRA SILVA RIBEIRO,Incidente,12/04/2022,RIO DE JANEIRO,RJ,Sudeste,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,"A aeronave decolou do Aeródromo de Jacarepaguá-Roberto Marinho (SBJR), Rio de Janeiro, RJ, a fim de realizar um voo panorâmico, com um tripulante e três passageiros a bordo. Durante o voo a luz de falha da bomba auxiliar ciclou e o piloto realizou um pouso preventivo em campo aberto em um clube.",PRJAH,D22,VITOR WILLIAM DE OLIVEIRA SILVA RIBEIRO,SCF-NP,Cruzeiro,Táxi Aéreo,Nenhum,,,,,,,,,,1.0,3.0,,,,R44 II,4.0,ROBINSON HELICOPTER,"-22,9875 -43,37"
10431,AZUL,Ocorrência Anormal,17/04/2022,CONFINS,MG,Sudeste,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,"A aeronave decolou do Aeródromo Tancredo Neves (SBCF), Confins, MG, com destino ao Aeródromo Leite Lopes (SBRP), Ribeirão Preto, SP, aproximadamente, às 22h29min (UTC), a fim de realizar transporte aéreo público regular, com quatro tripulantes e sessenta e oito passageiros a bordo. Durante o voo de cruzeiro, ocorreu a falha do Sistema de Refrigeração da aeronave. O voo retornou para o aeródromo de origem e o pouso ocorreu normalmente.",PRAQE,TPR,AZUL LINHAS AEREAS BRASILEIRAS S.A,SCF-NP,Cruzeiro,Voo Regular,Nenhum,,,,,,,,,,4.0,68.0,,,,ATR-72-212A,75.0,ATR - GIE AVIONS DE TRANSPORT RÉGIONAL,"-19,6244 -43,9719"
